Unnamed: 0,French,English
0,partie,part
1,histoire,history
2,chercher,search
5,pensais,thought
6,aide,help
11,laisser,let
15,laisse,leash
18,chaque,each
20,arrivé,come
21,devrait,should
22,bébé,baby
23,heures,hours
24,vont,will
25,pendant,while
26,revoir,meet again
27,aucune,any
28,place,square
30,compris,understood
33,attention,Warning
35,pourrais,could
36,affaire,case
38,type,type
43,endroit,place
45,façon,way
46,écoute,listen
47,dont,whose
50,perdu,lost
52,côté,side
53,pouvoir,power
55,sois,be
56,tiens,here
57,matin,morning
59,enfant,child
63,venez,come
65,minutes,minutes
68,mis,placed
70,droit,law
71,aimerais,would like to
72,aujourd'hui,today
73,mari,husband
77,eau,water
79,parti,left
80,nouvelle,new
81,boulot,job
85,compte,account
86,donne,given
89,croire,believe
91,gros,large
